"BehaviorSpace results (NetLogo 5.3.1)"
"B03A02.nlogo"
"experiment"
"11/09/2016 23:42:28:982 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3"
"world-size","20","20","20"
"bean-count","200","1681","5000"
"[reporter]","entropy","entropy","entropy"
"[final]","7.523856189774741","9.884061893812719","10.445865225342832"
"[min]","0","0","0"
"[max]","7.613856189774741","9.929288444406954","10.458377382705951"
"[mean]","7.3480209870543565","9.368427717073766","9.829491401297885"
"[steps]","500","500","500"

"[all run data]","entropy","entropy","entropy"
,"7.563856189774742","9.858264656149164","10.424884653513177"
,"7.483856189774741","9.866593032115853","10.41820115773999"
,"7.550081752263923","9.873913975891266","10.425382710013789"
,"7.563856189774741","9.860751752798398","10.418188032624256"
,"7.510081752263923","9.829907926842468","10.42810253320755"
,"7.500081752263923","9.854113730492612","10.438693443119474"
,"7.533856189774742","9.88371627328272","10.425622056087882"
,"7.553856189774741","9.887262317293848","10.409462394832772"
,"7.540081752263923","9.838172783745348","10.408506932326324"
,"7.500081752263924","9.879279561857146","10.440078632466353"
,"7.523856189774742","9.896953271520758","10.4285531093934"
,"7.560081752263925","9.873545941401407","10.424023726915033"
,"7.503856189774742","9.872313764150707","10.419890308279873"
,"7.506307314753106","9.870943292690963","10.422308757494715"
,"7.500081752263925","9.820715925941709","10.431894179121807"
,"7.513856189774742","9.84112431766476","10.428951394048903"
,"7.543856189774742","9.903493258706764","10.431430511283995"
,"7.500081752263924","9.891326792099923","10.432716775000367"
,"7.543856189774742","9.875372530540943","10.437859366887876"
,"7.520081752263925","9.847589529705578","10.444090324758305"
,"7.493856189774742","9.852998737642551","10.42261868631241"
,"7.480081752263926","9.862444584813513","10.416693445394545"
,"7.573856189774741","9.865526191554494","10.425492797766736"
,"7.523856189774741","9.845790769371181","10.43980386906742"
,"7.530081752263925","9.850358727821039","10.450943784089867"
,"7.553856189774742","9.855027238257799","10.419975458723401"
,"7.543856189774742","9.8367989494037","10.435595211143873"
,"7.550081752263924","9.86586186015463","10.440550624582828"
,"7.520081752263923","9.866078712014597","10.439709903465996"
,"7.48253287724229","9.866796149540189","10.443799480621646"
,"7.5438561897747425","9.858364323608445","10.452001832239688"
,"7.496307314753108","9.846383975311358","10.441112034410484"
,"7.540081752263925","9.829205856091981","10.417476222766616"
,"7.553856189774742","9.879713265577076","10.431082180716976"
,"7.533856189774741","9.890421177534247","10.44535407302065"
,"7.520081752263923","9.888743712294241","10.44037783427812"
,"7.492532877242289","9.865278606144283","10.417173382287967"
,"7.500081752263924","9.87260539115585","10.426922395304656"
,"7.533856189774742","9.896594342946015","10.42600415736645"
,"7.490081752263924","9.86300836135502","10.433323855300983"
,"7.533856189774741","9.889992888659553","10.440616286520346"
,"7.480081752263925","9.861586374724695","10.426672035755118"
,"7.506307314753107","9.871699776590146","10.431518207824105"
,"7.570081752263925","9.852024189167789","10.428410263919915"
,"7.533856189774742","9.846415128485447","10.41500010628718"
,"7.530081752263924","9.85124897561161","10.432736836468921"
,"7.4763073147531065","9.857721661228029","10.43008054131186"
,"7.5038561897747424","9.853066039212123","10.441493313543425"
,"7.500081752263924","9.856251522309053","10.44598526034317"
,"7.483856189774742","9.862351964538986","10.435884955588808"
,"7.530081752263925","9.883925231943188","10.433159089005368"
,"7.520081752263924","9.847491074961924","10.439451402423728"
,"7.573856189774741","9.896831976426379","10.448545417519425"
,"7.530081752263926","9.884142083803175","10.437584096110143"
,"7.460081752263925","9.90962779736885","10.44726691783154"
,"7.473856189774741","9.880949133897648","10.43999754511648"
,"7.483856189774741","9.88192746487819","10.43476653885981"
,"7.533856189774743","9.866286038335577","10.43279961927684"
,"7.530081752263925","9.840320101100767","10.440309129918797"
,"7.563856189774741","9.867356989590661","10.438957316920598"
,"7.500081752263926","9.887787008948854","10.434186791686585"
,"7.5438561897747425","9.868999938774637","10.435392405018387"
,"7.550081752263924","9.87699395029275","10.426572216812227"
,"7.550081752263925","9.843503853655237","10.43706662030607"
,"7.5838561897747425","9.853066039212138","10.430085927466678"
,"7.573856189774742","9.845353800972298","10.429826889793533"
,"7.480081752263923","9.844708988425573","10.435015721676175"
,"7.533856189774742","9.8945296939353","10.42805377749269"
,"7.573856189774741","9.876384073425905","10.451240727422848"
